index,frame_id,id,x,y,w,h,tl_x,br_x,tl_y,br_y
0,0,9,514.7109,195.2731,31.03,75.17,499,530,157,232
1,0,15,274.4912,262.9999,32.9129,88.7021,258,290,218,307
2,0,19,654.358,282.4698,42.3382,81.0743,633,675,241,323
0,1,9,512.6294,195.7523,31.03,75.17,497,528,158,233
1,1,15,279.0846,261.9036,32.7742,88.5046,262,295,217,306
2,1,19,647.7543,282.569,42.1596,81.387,626,668,241,323
0,2,9,510.1914,196.4363,31.03,75.17,494,525,158,234
1,2,15,284.6897,260.5657,32.6048,88.2635,268,300,216,304
2,2,19,639.684,282.684,41.9382,81.7663,618,660,241,323
0,3,9,507.6019,197.2706,31.03,75.17,492,523,159,234
1,3,15,290.8408,259.0973,32.419,87.9988,274,307,215,303
2,3,19,630.7887,282.7904,41.6834,82.1755,609,651,241,323
0,4,9,504.9746,198.186,31.03,75.17,489,520,160,235
1,4,15,297.2085,257.577,32.227,87.7247,281,313,213,301
2,4,19,621.4815,282.8503,41.3896,82.5813,600,642,241,324
0,5,9,502.3192,199.1347,31.03,75.17,486,517,161,236
1,5,15,303.6393,256.0412,32.0334,87.4475,287,319,212,299
2,5,19,611.8967,282.8165,41.0364,82.9576,591,632,241,324
0,6,9,499.5844,200.0974,31.03,75.17,484,515,162,237
1,6,15,310.07,254.505,31.84,87.17,294,325,210,298
2,6,19,602.0571,282.6529,40.6055,83.2873,581,622,241,324
0,7,9,496.6253,201.0721,31.03,75.17,481,512,163,238
1,7,15,316.5007,252.9688,31.6466,86.8925,300,332,209,296
2,7,19,591.9629,282.3594,40.0968,83.5701,571,612,240,324
0,8,9,493.2282,202.0811,31.03,75.17,477,508,164,239
1,8,15,322.9315,251.433,31.453,86.6153,307,338,208,294
2,8,19,581.6817,281.9701,39.5307,83.8183,561,601,240,323
0,9,9,489.1899,203.1624,31.03,75.17,473,504,165,240
1,9,15,329.3344,249.8971,31.259,86.3382,313,344,206,293
2,9,19,571.2996,281.529,38.9339,84.0478,551,590,239,323
0,10,9,484.4311,204.3685,31.03,75.17,468,499,166,241
1,10,15,335.6416,248.3598,31.064,86.0605,320,351,205,291
2,10,19,560.8775,281.0675,38.325,84.27,541,580,238,323
0,11,9,478.9944,205.7513,31.03,75.17,463,494,168,243
1,11,15,341.7085,246.8182,30.8677,85.7809,326,357,203,289
2,11,19,550.4503,280.5961,37.7128,84.4875,531,569,238,322
0,12,9,473.0492,207.3049,31.03,75.17,457,488,169,244
1,12,15,347.3302,245.2685,30.6689,85.4977,331,362,202,288
2,12,19,540.0456,280.1106,37.1011,84.6962,521,558,237,322
0,13,9,466.8209,208.9244,31.03,75.17,451,482,171,246
1,13,15,352.3459,243.7076,30.467,85.2094,337,367,201,286
2,13,19,529.6979,279.5891,36.4911,84.8828,511,547,237,322
0,14,9,460.4666,210.4539,31.03,75.17,444,475,172,248
1,14,15,356.7557,242.1354,30.2618,84.9159,341,371,199,284
2,14,19,519.4556,279.0004,35.8842,85.0284,501,537,236,321
0,15,9,453.9927,211.7933,31.03,75.17,438,469,174,249
1,15,15,360.7203,240.5548,30.054,84.6188,345,375,198,282
2,15,19,509.357,278.3205,35.2815,85.1181,491,526,235,320
0,16,9,447.3472,212.9373,31.03,75.17,431,462,175,250
1,16,11,734.003,339.0365,37.1672,111.6926,715,752,283,394
2,16,15,364.4448,238.9695,29.8448,84.3198,349,379,196,281
3,16,19,499.4023,277.5493,34.6823,85.1515,482,516,234,320
